X,Y,Z,formation
425617.3228,5883794.5858,680.8289,02_Marchlyn_Fm
425636.1660,5883781.8759,670.4177,02_Marchlyn_Fm
425655.0092,5883769.1660,660.0064,02_Marchlyn_Fm
425674.0358,5883756.3324,650.0943,02_Marchlyn_Fm
425693.0841,5883743.4841,640.2412,02_Marchlyn_Fm
425712.1325,5883730.6359,630.3880,02_Marchlyn_Fm
425731.1808,5883717.7876,620.5349,02_Marchlyn_Fm
425749.9353,5883705.1375,609.8975,02_Marchlyn_Fm
425768.6551,5883692.5109,599.1674,02_Marchlyn_Fm
425787.3749,5883679.8842,588.4372,02_Marchlyn_Fm
425806.0948,5883667.2575,577.7071,02_Marchlyn_Fm
425824.4446,5883654.8804,566.0891,02_Marchlyn_Fm
425842.7518,5883642.5320,554.3689,02_Marchlyn_Fm
425861.0590,5883630.1837,542.6487,02_Marchlyn_Fm
425879.3662,5883617.8353,530.9285,02_Marchlyn_Fm
425896.6188,5883606.1983,517.0998,02_Marchlyn_Fm
425913.7507,5883594.6426,503.0297,02_Marchlyn_Fm
425930.8826,5883583.0870,488.9597,02_Marchlyn_Fm
425948.0145,5883571.5314,474.8897,02_Marchlyn_Fm
425963.0594,5883561.3835,457.7460,02_Marchlyn_Fm
425977.8709,5883551.3931,440.2585,02_Marchlyn_Fm
425992.6823,5883541.4026,422.7711,02_Marchlyn_Fm
426007.4938,5883531.4122,405.2836,02_Marchlyn_Fm
426018.9257,5883523.7012,384.4973,02_Marchlyn_Fm
426030.0156,5883516.2210,363.3771,02_Marchlyn_Fm
426041.1054,5883508.7409,342.2569,02_Marchlyn_Fm
426052.1952,5883501.2607,321.1368,02_Marchlyn_Fm
426060.1681,5883495.8829,298.0965,02_Marchlyn_Fm
426067.8505,5883490.7011,274.8774,02_Marchlyn_Fm
426075.5329,5883485.5192,251.6582,02_Marchlyn_Fm
426083.2153,5883480.3373,228.4391,02_Marchlyn_Fm
426088.4994,5883476.7732,204.2819,02_Marchlyn_Fm
426093.5741,5883473.3503,180.0429,02_Marchlyn_Fm
426098.6487,5883469.9274,155.8038,02_Marchlyn_Fm
426103.7234,5883466.5045,131.5648,02_Marchlyn_Fm
426107.4937,5883463.9613,106.9864,02_Marchlyn_Fm
426111.1541,5883461.4924,82.3793,02_Marchlyn_Fm
426114.8145,5883459.0234,57.7723,02_Marchlyn_Fm
426118.4748,5883456.5545,33.1653,02_Marchlyn_Fm
426121.6338,5883454.4237,8.4580,02_Marchlyn_Fm
426124.7507,5883452.3214,-16.2577,02_Marchlyn_Fm
426127.8675,5883450.2190,-40.9734,02_Marchlyn_Fm
426130.9844,5883448.1167,-65.6891,02_Marchlyn_Fm
426133.9042,5883446.1472,-90.4396,02_Marchlyn_Fm
426136.8076,5883444.1889,-115.1931,02_Marchlyn_Fm
426139.7109,5883442.2306,-139.9466,02_Marchlyn_Fm
426142.6143,5883440.2722,-164.7001,02_Marchlyn_Fm
426145.1738,5883438.5458,-189.5085,02_Marchlyn_Fm
426147.7046,5883436.8388,-214.3214,02_Marchlyn_Fm
426150.2354,5883435.1318,-239.1343,02_Marchlyn_Fm
426152.7661,5883433.4247,-263.9472,02_Marchlyn_Fm
426155.2178,5883431.7710,-288.7717,02_Marchlyn_Fm
426157.6629,5883430.1218,-313.5971,02_Marchlyn_Fm
426160.1080,5883428.4726,-338.4226,02_Marchlyn_Fm
426162.5531,5883426.8234,-363.2480,02_Marchlyn_Fm
426164.3424,5883425.6164,-388.1536,02_Marchlyn_Fm
